text,label
Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW,spam
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066368470",spam
Welcome! Please reply with your AGE and GENDER to begin. e.g 24M,spam
Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly,spam
Had your mobile 10 mths? Update to latest Orange camera/video phones for FREE. Save å£s with Free texts/weekend calls. Text YES for a callback orno to opt out,spam
Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Callså£1/minMobsmore LKPOBOX177HP51FL,spam
True. Its easier with her here.,ham
Sure but since my parents will be working on Tuesday I don't really need a cover story,ham
Haha okay... Today weekend leh... ,ham
"\Hi darlin did youPhone me? Im atHome if youwanna chat.\""""",ham
I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga,ham
You've always been the brainy one.,ham
Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe,ham
Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,spam
"Christmas is An occasion that is Celebrated as a Reflection of UR... Values..., Desires..., Affections...&amp; Traditions.... Have an ideal Christmas...",ham
Sending you greetings of joy and happiness. Do have a gr8 evening,ham
"\Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx\""""",ham
If india win or level series means this is record:),ham
Then what about further plan?,ham
Its good to hear from you,ham
"awesome, how do I deal with the gate? Charles told me last night but, uh, yeah",ham
What time you thinkin of goin?,ham
Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only,spam
Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend,spam
Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock.,ham
Yes but I don't care cause I know its there!,ham
"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine \KUDI\""yarasu dhina vaazhthukkal. ..""",ham
"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer... ",ham
Sitting ard nothing to do lor. U leh busy w work?,ham
Its  &lt;#&gt; k here oh. Should i send home for sale.,ham
Sorry. || mail? || ,ham
Ya just telling abt tht incident..,ham
Yes we were outside for like 2 hours. And I called my whole family to wake them up cause it started at 1 am,ham
Ugh just got outta class,ham
"Nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication.... Have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication? It is very champlaxigating, i think it is atrocious.. Wotz Ur Opinion???? Junna",ham
I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,ham
No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room.,ham
Ok. I.ll do you right later.,ham
Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,ham
Have your lunch and come quickly and open the door:),ham
Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net,spam
I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love,ham
"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4...",ham
Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,spam
i am seeking a lady in the street and a freak in the sheets. Is that you?,ham
My phone,ham
"Haha figures, well I found the piece and priscilla's bowl",ham
"Actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though",ham
URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,spam
yay! finally lol. i missed our cinema trip last week :-(,ham
All day working day:)except saturday and sunday..,ham
aathi..where are you dear..,ham
Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams,ham
"I think I‰Û÷m waiting for the same bus! Inform me when you get there, if you ever get there.",ham
You getting back any time soon?,ham
", how's things? Just a quick question.",ham
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",ham
"I can probably come by, everybody's done around  &lt;#&gt;  right?",ham
I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.,ham
I can ask around but there's not a lot in terms of mids up here,ham
Be sure to check your yahoo email. We sent photos yesterday,ham
What was she looking for?,ham
Wherre's my boytoy ? :-(,ham
Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,spam
"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*",ham
Tell my  bad character which u Dnt lik in me. I'll try to change in  &lt;#&gt; . I ll add tat 2 my new year resolution. Waiting for ur reply.Be frank...good morning.,ham
No:-)i got rumour that you going to buy apartment in chennai:-),ham
"Yeah, probably earlier than that",ham
Change windows logoff sound..,ham
Still i have not checked it da. . .,ham
I'm also came to room.,ham
Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...  ,ham
Ok.,ham
I will reach office around  &lt;DECIMAL&gt; . &amp; my mobile have problem. You cann't get my voice. So call you asa i'll free,ham
"Cool, text me when you head out",ham
"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P",spam
"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",spam
Happy birthday... May u find ur prince charming soon n dun work too hard...,ham
"Oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served",ham
You said to me before i went back to bed that you can't sleep for anything.,ham
I hope you arnt pissed off but id would really like to see you tomorrow. Love me xxxxxxxxxxxxxX,ham
Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,spam
says the  &lt;#&gt;  year old with a man and money. I'm down to my last  &lt;#&gt; . Still waiting for that check.,ham
I will come to ur home now,ham
Free any day but i finish at 6 on mon n thurs...,ham
Will you be here for food,ham
"life alle mone,eppolum oru pole allalo",ham
Nite...,ham
Two fundamentals of cool life: \Walk,ham
"Camera quite good, 10.1mega pixels, 3optical and 5digital dooms. Have a lovely holiday, be safe and i hope you hav a good journey! Happy new year to you both! See you in a couple of weeks! ",ham
Hi Petey!noiåÕm ok just wanted 2 chat coz avent spoken 2 u 4 a long time-hope ur doin alrite.have good nit at js love ya am.x,ham
I just saw ron burgundy captaining a party boat so yeah,ham
I'm serious. You are in the money base,ham
Already one guy loving you:-.,ham
Staff of placement training in Amrita college.,ham
I always chat with you. In fact i need money can you raise me?,ham
I'm job profile seems like bpo..,ham
"Well, I was about to give up cos they all said no they didn‰Û÷t do one nighters. I persevered and found one but it is very cheap so i apologise in advance. It is just somewhere to sleep isnt it?",ham
"So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc.",ham
Are you willing to go for apps class.,ham
Hanging out with my brother and his family,ham
No it will reach by 9 only. She telling she will be there. I dont know,ham
Hey... are you going to quit soon? Xuhui and i working till end of the month ,ham
"Im sorry bout last nite it wasnåÕt ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx",ham
Try neva mate!!,ham
Yeah that'd pretty much be the best case scenario,ham
I not free today i haf 2 pick my parents up tonite...,ham
\HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY,ham
Should i send you naughty pix? :),ham
"You are a å£1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE",spam
"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!",spam
"Tyler (getting an 8th) has to leave not long after 9, can you get here in like an hour?",ham
Prepare to be pounded every night...,ham
"Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  &lt;#&gt;  sent msg i wil explain u later.",ham
"Sorry, I'll call later",ham
Good evening! How are you?,ham
I'm at home. Please call,ham
Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...,ham
"Mmmmm ... It was sooooo good to wake to your words this morning, my Love!! Mmmm fuck ... I love you too, my Lion ... *devouring kiss from across the sea*",ham
We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.,ham
What happen dear. Why you silent. I am tensed,ham
"I'll get there at 3, unless you guys want me to come some time sooner",ham
If you are not coughing then its nothing,ham
ÌÏ come lt 25 n pass to me lar,ham
I'm e person who's doing e sms survey...,ham
Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow,ham
Thank You meet you monday,ham
SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK åÔMORROW. C U THIS WK? WHO WAS THE MSG 4? åÐ RANDOM!,ham
"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel",spam
"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but",ham
"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like",ham
"Dad wanted to talk about the apartment so I got a late start, omw now",ham
I love you both too :-),ham
Lol u still feeling sick?,ham
Din i tell u jus now 420,ham
am up to my eyes in philosophy,ham
From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost å£1.50 min MobcudB more,spam
Ok lor. I'm in town now lei.,ham
I had it already..sabarish asked me to go..,ham
No da. . Vijay going to talk in jaya tv,ham
URGENT! We are trying to contact U Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm,spam
Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!,ham
Text BANNEDUK to 89555 to see! cost 150p textoperator g696ga 18+ XXX,spam
Still chance there. If you search hard you will get it..let have a try :),ham
"Auction round 4. The highest bid is now å£54. Next maximum bid is å£71. To bid, send BIDS e. g. 10 (to bid å£10) to 83383. Good luck.",spam
Do you always celebrate NY's with your family ?,ham
"We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-",ham
Its ok..come to my home it vl nice to meet and v can chat..,ham
Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + å£200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com,spam
Sent me de webadres for geting salary slip,ham
She's fine. Sends her greetings,ham
Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam
But you dint in touch with me.,ham
"Yup, leaving right now, be back soon",ham
You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,spam
Yeah sure I'll leave in a min,ham
And do you have any one that can teach me how to ship cars.,ham
"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",ham
Yeah confirmed for you staying at  that weekend,ham
They said Ì_ dun haf passport or smth like dat.. Or Ì_ juz send to my email account..  ,ham
"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you.",ham
"Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning",ham
Ard 4 lor...,ham
You are right. Meanwhile how's project twins comin up,ham
I sent your maga that money yesterday oh.,ham
Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY å£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,spam
Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams,ham
I am hot n horny and willing I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end,spam
Our ride equally uneventful - not too many of those pesky cyclists around at that time of night ;).,ham
If you were/are free i can give. Otherwise nalla adi entey nattil kittum,ham
I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.,ham
I am in escape theatre now. . Going to watch KAVALAN in a few minutes,ham
How much would it cost to hire a hitman,ham
I anything lor...,ham
"Sorry, I'll call later",ham
Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705,spam
Huh but i cant go 2 ur house empty handed right?,ham
Good morning princess! Happy New Year!,ham
Congratulations YOU'VE Won. You're a Winner in our August å£1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.,spam
"Aight, we'll head out in a few",ham
Then wat r u doing now? Busy wif work?,ham
I know you mood off today,ham
"Jay told me already, will do",ham
Cps is causing the outages to conserve energy.,ham
"I'm not sure, I was just checking out what was happening around the area",ham
Hey morning what you come to ask:-) pa...,ham
Jordan got voted out last nite!,ham
"That means you got an A in epi, she.s fine. She.s here now.",ham
I have no idea where you are,ham
Pls come quick cant bare this.,ham
Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.,ham
"Call me. I m unable to cal. Lets meet bhaskar, and deep",ham
No. I.ll meet you in the library,ham
"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure",ham
Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.,ham
Ok c Ì_ then.,ham
I enjoy watching and playing football and basketball. Anything outdoors. And you?,ham
"Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold  &lt;#&gt;  or any bb",ham
Sorry sent blank msg again. Yup but trying 2 do some serious studying now.,ham
Hey check it da. I have listed da.,ham
8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity ,spam
I meant as an apology from me for texting you to get me drugs at  &lt;#&gt; at night,ham
That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem.,ham
Goin to workout lor... Muz lose e fats... ,ham
"Damn, poor zac doesn't stand a chance",ham
No message..no responce..what happend?,ham
I want to tel u one thing u should not mistake me k THIS IS THE MESSAGE THAT YOU SENT:),ham
Yeah right! I'll bring my tape measure fri!,ham
Still chance there. If you search hard you will get it..let have a try :),ham
Meeting u is my work. . . Tel me when shall i do my work tomorrow,ham
Should I head straight there or what,ham
Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX å£1.50,spam
Thank you princess! You are so sexy...,ham
Oooh I got plenty of those!,ham
Hui xin is in da lib.,ham
Its a big difference.  &lt;#&gt;  versus  &lt;#&gt;  every  &lt;#&gt; hrs,ham
"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life.",ham
"\ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX\""""",ham
You know what hook up means right?,ham
"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622",spam
Wat's da model num of ur phone?,ham
He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes,ham
"You can stop further club tones by replying \STOP MIX\"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL",spam
My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...,ham
"Sorry, left phone upstairs. OK, might be hectic but would be all my birds with one fell swoop. It's a date.",ham
* Thought I didn't see you.,ham
wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp å£1.50/msg.,spam
Carlos says we can pick up from him later so yeah we're set,ham
"Hey babe, my friend had to cancel, still up for a visit ?",ham
As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham
Hmm ill have to think about it... ok you're forgiven! =D,ham
"We are hoping to get away by 7, from Langport. You still up for town tonight?",ham
Want to send me a virtual hug?... I need one,ham
"Probably not, still going over some stuff here",ham
It has issues right now. Ill fix for her by tomorrow.,ham
Why i come in between you people,ham
Senthil group company Apnt 5pm.,ham
Oh really?? Did you make it on air? What's your talent?,ham
Studying. But i.ll be free next weekend.,ham
R u here yet? I'm wearing blue shirt n black pants.,ham
Wait.i will come out.. &lt;#&gt;  min:),ham
I will reach ur home in  &lt;#&gt;  minutes,ham
Well then you have a great weekend!,ham
"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka? ",ham
"Frnd s not juz a word.....not merely a relationship.....its a silent promise which says ... \ I will be with YOU \"" Wherevr.. Whenevr.. Forevr... Gudnyt dear..""",ham
Huh? 6 also cannot? Then only how many mistakes?,ham
Ha... U jus ate honey ar? So sweet...,ham
I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u,ham
"Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks your ass* Did you go to the gym too ?",ham
Thanks for loving me so. You rock,ham
Yeah imma come over cause jay wants to do some drugs,ham
Ok thanx... Take care then...,ham
Yup. Thk of u oso boring wat.,ham
" came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too.",ham
Moji just informed me that you saved our lives. Thanks.,ham
You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam
Whos this am in class:-),ham
Hey r Ì_ still online? I've finished the formatting...,ham
Great! So what attracts you to the brothas?,ham
Promotion Number: 8714714 - UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub,spam
Stupid.its not possible,ham
I cant pick the phone right now. Pls send a message,ham
LOL what happens in Vegas stays in vegas,ham
"Hello, hello, hi lou sorry it took so long 2 reply- I left mobile at friends in Lancaster, just got it bak Neway im sorry I couldnåÕt make ur båÕday 2 hun!",ham
When did i use soc... I use it only at home... ÌÏ dunno how 2 type it in word ar...,ham
Dad says hurry the hell up,ham
Wake me up at  &lt;#&gt;  am morning:),ham
"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?",ham
Great! I shoot big loads so get ready!,ham
I'll meet you in the lobby,ham
You still coming tonight?,ham
What happen dear tell me,ham
"Sir, i am waiting for your call, once free please call me.",ham
No i am not having not any movies in my laptop,ham
I was about to do it when i texted. I finished a long time ago and showered and er'ything!,ham
Ok im not sure what time i finish tomorrow but i wanna spend the evening with you cos that would be vewy vewy lubly! Love me xxx,ham
"Hello, As per request from  &lt;#&gt;  Rs.5 has been transfered to you",ham
I am in tirupur.  call you da.,ham
You are a winner you have been specially selected to receive å£1000 cash or a å£2000 award. Speak to a live operator to claim call 087147123779am-7pm. Cost 10p,spam
S:)but he had some luck.2 catches put down:),ham
How i noe... Did Ì_ specify da domain as nusstu... ÌÏ still in sch...,ham
Oh...i asked for fun. Haha...take care. Ì_,ham
Shall i get my pouch?,ham
Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .,ham
"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?",ham
Kent vale lor... ÌÏ wait 4 me there ar?,ham
Ok. Very good. Its all about making that money.,ham
Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-),ham
Aight do you still want to get money,ham
Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,spam
Ok.ok ok..then..whats ur todays plan,ham
ARE YOU IN TOWN? THIS IS V. IMPORTANT,ham
"Sorry pa, i dont knw who ru pa?",ham
Wat u doing there?,ham
If i not meeting Ì_ all rite then i'll go home lor. If Ì_ dun feel like comin it's ok.,ham
"Oh, i will get paid. The most outstanding one is for a commercial i did for Hasbro...in AUGUST! They made us jump through so many hoops to get paid. Still not.",ham
"I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye.",ham
Networking technical support associate.,ham
I'm gonna rip out my uterus.,ham
Cool. Do you like swimming? I have a pool and jacuzzi at my house.,ham
"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar",spam
"Yeah why not, is the gang all ready",ham
Blank is Blank. But wat is blank? Lol,ham
I'm in a movie... Collect car oredi...,ham
We left already we at orchard now.,ham
"Hi there, 2nights ur lucky night! Uve been invited 2 XCHAT, the Uks wildest chat! Txt CHAT to 86688 now! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs",spam
Nothing spl..wat abt u and whr ru?,ham
No chikku nt yet.. Ya i'm free,ham
"Aldrine, rakhesh ex RTM here.pls call.urgent.",ham
The search 4 happiness is 1 of d main sources of unhappiness! Accept life the way it comes! U will find happiness in every moment u live.,ham
I'm at home. Please call,ham
"I guess you could be as good an excuse as any, lol.",ham
"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING",ham
Gud mrng dear hav a nice day,ham
Old Orchard near univ. How about you?,ham
"4 tacos + 1 rajas burrito, right?",ham
"It‰Û÷s å£6 to get in, is that ok?",ham
Hows the street where the end of library walk is?,ham
"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN.",ham
We stopped to get ice cream and will go back after,ham
Did you stitch his trouser,ham
